0	13	14	9	6	4	16	11	8	15	3	7	2	1	12	10	5
9	0	14	2	6	5	11	8	4	12	7	3	10	13	16	15	1
6	8	0	7	12	3	4	10	5	16	9	1	14	11	13	15	2
11	2	15	0	6	3	8	10	4	16	7	9	5	12	14	13	1
4	8	14	7	0	6	9	5	1	13	11	12	3	10	15	16	2
1	12	14	5	8	0	10	2	4	15	13	11	3	9	7	16	6
8	10	4	3	11	13	0	12	9	14	2	1	5	6	15	16	7
1	8	15	3	2	5	13	0	12	10	11	9	6	4	14	16	7
10	8	13	4	5	1	9	12	0	16	6	7	11	3	14	15	2
11	7	15	8	14	4	1	5	6	0	9	10	12	13	3	16	2
8	4	3	7	6	13	9	10	5	14	0	2	11	12	15	16	1
9	2	10	5	11	15	1	12	3	16	6	0	8	7	14	13	4
1	11	14	9	4	3	7	2	8	15	12	10	0	6	13	16	5
3	9	13	10	11	5	1	12	2	14	4	6	7	0	15	16	8
12	15	8	3	9	7	10	14	1	16	5	6	11	13	0	4	2
14	7	15	3	10	12	6	11	2	16	9	1	13	8	5	0	4
4	5	12	2	3	9	11	14	1	16	8	6	7	13	10	15	0
