0	13	14	9	6	4	16	11	8	15	3	7	1	2	12	10	5
13	0	12	1	7	10	4	14	8	15	11	6	9	5	16	3	2
9	11	0	3	8	4	13	15	7	16	6	2	10	12	5	14	1
8	2	16	0	5	6	4	13	3	15	12	10	7	14	11	9	1
2	9	15	7	0	4	14	5	6	16	8	13	1	10	12	11	3
1	16	8	6	11	0	13	2	3	14	15	10	4	7	9	12	5
13	3	8	4	14	15	0	10	2	12	6	1	9	7	11	16	5
9	11	16	2	5	1	14	0	13	4	6	12	3	10	7	15	8
9	11	12	5	8	1	2	14	0	16	6	7	10	4	13	15	3
6	12	9	15	14	5	3	7	13	0	16	10	2	11	1	8	4
10	5	4	6	7	15	8	14	2	16	0	3	9	13	12	11	1
14	3	6	4	13	15	1	16	2	10	7	0	8	5	12	11	9
2	14	15	6	1	3	7	4	8	16	10	11	0	9	12	13	5
2	6	11	4	13	5	9	15	1	14	7	8	16	0	10	12	3
15	3	4	2	8	12	16	14	9	1	13	6	10	11	0	5	7
14	5	11	6	8	15	7	16	1	10	9	2	13	4	12	0	3
4	16	10	1	3	11	7	13	2	14	6	8	5	12	9	15	0
