0	13	14	8	12	2	7	4	6	16	10	9	1	5	11	15	3
9	0	14	3	5	4	10	7	6	13	8	2	11	12	15	16	1
12	7	0	8	9	4	3	10	5	16	6	2	13	11	14	15	1
10	3	16	0	5	2	8	14	4	15	9	6	7	12	13	11	1
2	8	15	7	0	5	9	6	1	13	10	12	3	11	14	16	4
1	12	13	5	7	0	11	2	4	15	14	10	3	8	9	16	6
12	4	3	10	8	13	0	14	5	11	2	1	7	6	16	15	9
1	11	15	8	5	2	13	0	9	14	10	7	4	3	12	16	6
12	6	14	4	5	1	9	10	0	16	8	7	11	3	13	15	2
5	11	14	15	13	8	4	2	7	0	12	3	10	9	6	16	1
11	4	5	6	7	14	8	12	3	13	0	2	9	10	15	16	1
11	2	9	6	10	14	1	13	3	16	5	0	8	7	15	12	4
1	13	14	10	3	2	7	4	9	16	11	8	0	6	12	15	5
2	9	15	5	16	10	4	11	1	12	6	3	7	0	14	13	8
10	7	13	2	9	5	11	14	4	15	8	6	12	16	0	1	3
14	5	12	4	10	15	9	11	3	16	7	2	13	8	6	0	1
4	5	11	2	3	8	13	12	1	16	6	7	9	14	10	15	0
