0	13	15	9	6	4	11	10	8	16	3	7	2	1	12	14	5
10	0	14	1	2	11	6	12	8	15	9	3	7	5	16	13	4
8	15	0	3	9	4	5	12	6	14	11	1	10	7	13	16	2
9	2	16	0	5	8	4	14	3	15	10	7	6	11	13	12	1
2	10	15	6	0	5	8	4	7	16	9	12	1	13	11	14	3
1	14	10	7	6	0	13	2	4	16	12	11	3	8	9	15	5
12	4	9	3	13	14	0	11	2	15	7	1	8	6	10	16	5
9	12	15	5	3	1	14	0	13	10	6	11	2	7	8	16	4
9	11	13	1	8	2	5	14	0	16	7	6	10	4	12	15	3
9	8	13	12	14	6	4	5	7	0	10	1	15	11	2	16	3
10	4	5	6	7	15	8	12	2	16	0	3	9	11	14	13	1
14	2	8	4	13	16	1	15	3	10	6	0	9	5	12	11	7
1	15	12	6	2	4	11	3	9	16	10	8	0	7	13	14	5
4	5	13	6	9	2	7	15	1	10	8	3	16	0	14	11	12
15	13	4	8	9	7	16	14	10	6	11	1	12	5	0	3	2
9	7	8	5	6	16	12	15	2	14	11	1	13	3	10	0	4
4	15	13	1	2	10	5	12	3	14	9	8	6	11	7	16	0
