0	9	14	7	11	8	16	12	3	15	13	4	1	2	10	5	6
13	0	12	1	8	10	3	15	14	16	11	5	6	7	9	4	2
13	9	0	5	4	10	14	16	6	11	8	1	12	7	2	15	3
9	1	13	0	7	5	4	15	3	16	12	6	8	11	10	14	2
2	9	12	5	0	13	15	7	11	14	4	8	1	16	6	10	3
1	12	15	4	10	0	13	6	2	14	9	11	3	5	8	16	7
15	4	13	1	14	9	0	10	5	7	6	2	11	8	12	16	3
9	14	16	7	12	1	15	0	13	2	6	8	3	11	4	10	5
10	15	12	6	11	5	4	16	0	14	1	9	13	3	8	7	2
2	16	6	14	12	4	3	9	7	0	13	11	1	15	8	10	5
11	6	3	7	4	15	8	14	2	16	0	5	10	12	13	9	1
15	6	3	4	8	14	1	13	2	10	9	0	12	16	7	11	5
1	11	16	7	2	3	8	5	9	13	6	10	0	12	14	15	4
15	12	4	2	5	10	3	16	1	14	13	9	11	0	7	6	8
14	5	2	3	1	10	8	13	7	4	16	6	11	15	0	12	9
12	14	16	6	10	15	9	13	1	4	3	5	8	7	11	0	2
10	12	7	1	2	14	6	16	3	8	9	4	5	11	13	15	0
